Region,Maker,Model,Model year,Supplier
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar (India),2025,The Hi-Tech Gears Ltd.
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar ROXX (India),2025,The Hi-Tech Gears Ltd.
Europe,Skoda,Kodiaq (Czech Republic),2025,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,Skoda,Kodiaq (Czech Republic),2025,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,BMW,5 Series (Germany),2024,Hirschvogel Group (Hirschvogel Holding GmbH)
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar (India),2024,The Hi-Tech Gears Ltd.
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Thar ROXX (India),2024,The Hi-Tech Gears Ltd.
Europe,Mercedes-Benz,G-Class (Austria),2024,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,Skoda,Kodiaq (Czech Republic),2024,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,Skoda,Kodiaq (Czech Republic),2024,Hirschvogel Group (Hirschvogel Holding GmbH)
China,Changan Ford,Ford Mustang Mach-E (China),2023,"Qijing Machinery Co., Ltd."
ASEAN?India?Korea,Hyundai,IONIQ 5 (Korea),2023,"Hwasin Precision Co.,Ltd."
ASEAN?India?Korea,Kia,EV6 (Korea),2023,"Hwasin Precision Co.,Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Scorpio-N (India),2023,Divgi TorqTransfer Systems Limited
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Fortuner (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Hilux Revo (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Yaris (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Yaris ATIV (Thailand),2023,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
China,BMW Brilliance,BMW iX3 (RR) (China),2022,"Hirschvogel Automotive Components (Pinghu) Co., Ltd."
China,Changan Ford,Ford Mustang Mach-E (China),2022,"Qijing Machinery Co., Ltd."
Japan,Honda,CR-V (for Europe),2022,"Kyushu Yanagawa Seiki Co., Ltd."
Japan,Honda,CR-V (for Europe),2022,"Kyushu Yanagawa Seiki Co., Ltd."
ASEAN?India?Korea,Mahindra & Mahindra,Mahindra Bolero (India),2022,Divgi TorqTransfer Systems Limited
ASEAN?India?Korea,Mitsubishi,Pajero Sport (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Mitsubishi,Triton (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Europe,Skoda,Enyaq Coupe iV (Czech Republic),2022,Hirschvogel Group (Hirschvogel Holding GmbH)
ASEAN?India?Korea,Toyota,Fortuner (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Hilux Revo (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Vios (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Yaris (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
ASEAN?India?Korea,Toyota,Yaris ATIV (Thailand),2022,"Aichi Forge (Thailand) Co., Ltd. (formerly Aichi International (Thailand) Co., Ltd.)"
Europe,Audi,A3 Sedan (Germany),2021,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,BMW,5 Series Sedan (Germany),2021,Dowlais Group plc
Europe,BMW,5 Series Touring (Germany),2021,Dowlais Group plc
Europe,BMW,7 Series (Germany),2021,Dowlais Group plc
Europe,BMW,iX (Germany),2021,Hirschvogel Group (Hirschvogel Holding GmbH)
Americas,BMW,X7 (USA),2021,Walor North America Inc. (Formerly Hirschvogel Inc.)
China,BMW Brilliance,BMW iX3 (China),2021,"Hirschvogel Automotive Components (Pinghu) Co., Ltd."
Americas,GM,Chevrolet Tracker (Brazil),2021,Rudolph Usinados S.A.
China,Great Wall,Haval Dargo (4WD) (China),2021,"Hirschvogel Automotive Components (Pinghu) Co., Ltd."
Japan,Isuzu,Forward,2021,"Brother Precision Ind. Co., Ltd."
Japan,Isuzu,Forward,2021,"Brother Precision Ind. Co., Ltd."
Europe,Porsche,Cayenne Coupe (Slovakia),2021,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,Toyota,Supra (Austria),2021,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,Volkswagen,ID.3 (Germany),2021,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,BMW,4 Series Coupe (Germany),2020,Hirschvogel Group (Hirschvogel Holding GmbH)
Europe,Jaguar Land Rover,Land Rover Defender (Slovakia),2020,Hirschvogel Group (Hirschvogel Holding GmbH)
Americas,BMW,X5 (USA),2019,Freudenberg Sealing Technologies GmbH & Co. KG
China,FAW Toyota,Toyota Corolla (FF) (China),2019,"Fuzhou Ibara Lioho Machinery Co., Ltd."
China,FAW Toyota,Toyota Vios FS (FF) (China),2019,"Fuzhou Ibara Lioho Machinery Co., Ltd."
China,GAC Toyota,Toyota YARiS L (FF) (China),2019,"Fuzhou Ibara Lioho Machinery Co., Ltd."
China,GAC Toyota,Toyota YARiS L Sedan (FF) (China),2019,"Fuzhou Ibara Lioho Machinery Co., Ltd."
Europe,Alfa Romeo,Giulia (Italy),2018,AB SKF
Europe,Alfa Romeo,Stelvio (Italy),2018,SKF Industrie S.p.A.
Americas,Chrysler,300 (Canada),2018,AB SKF
